CCTV-16,http://120.245.137.146:4022/udp/228.1.1.217:8002 8K信号,3.9916
爱上4K,http://120.245.137.146:4022/udp/228.1.1.38:2000,2.8776
4K超清[超清],http://123.122.163.122:19999/rtp/239.3.1.249:8001,2.3066
4K超清,http://120.245.137.146:4022/udp/228.1.1.123:8001,2.2301
爱上4K[超清],http://124.65.5.85:20000/rtp/239.3.1.236:2000,2.1641
爱上4K,http://1.203.76.226:7788/udp/225.1.8.80:2000,2.0827
爱上4K[超清],http://111.196.131.148:20000/rtp/239.3.1.236:2000,1.9172
爱上4K[超清],http://sweetown.fun:4000/rtp/239.3.1.236:2000,1.7628
爱上4K[超清],http://bplwberp.zzmd.fun:8888/rtp/239.3.1.236:2000,1.6562
4K超清[超清],http://111.197.130.1:1314/rtp/239.3.1.249:8001,1.651
CCTV-4K,http://120.245.137.146:4022/udp/228.1.1.227:2000,1.6239
爱上4K[超清],http://111.197.130.1:1314/rtp/239.3.1.236:2000,1.4264
4K超清[超清],http://yfaqkkms.zzmd.fun:8888/rtp/239.3.1.249:8001,1.4093
4K超清[超清],http://111.201.162.131:10000/rtp/239.3.1.249:8001,1.3713
爱上4K[超清],http://111.197.224.161:4022/rtp/239.3.1.236:2000,1.3329
4K超清[超清],http://111.193.234.141:8888/rtp/239.3.1.249:8001,1.2734
爱上4K[超清],http://114.252.117.249:7000/rtp/239.3.1.236:2000,1.0805
快乐垂钓HD,http://yfaqkkms.zzmd.fun:8888/rtp/239.3.1.164:8001,1.0654
茶频道HD,http://123.120.11.201:4022/rtp/239.3.1.165:8001,1.0647
快乐垂钓HD,http://123.120.11.201:4022/rtp/239.3.1.164:8001,1.0647
密云电视台HD,http://123.120.11.201:4022/rtp/239.3.1.154:8001,1.0646
朝阳融媒HD,http://111.193.234.141:8888/rtp/239.3.1.163:8001,1.0644
通州融媒HD,http://111.196.185.170:5555/rtp/239.3.1.221:8001,1.064
朝阳融媒HD,http://123.122.163.122:19999/rtp/239.3.1.163:8001,1.0639
密云电视台HD,http://111.196.131.148:20000/rtp/239.3.1.154:8001,1.0638
朝阳融媒HD,http://123.120.11.201:4022/rtp/239.3.1.163:8001,1.0637
茶频道HD,http://123.122.163.122:19999/rtp/239.3.1.165:8001,1.0635
通州融媒HD,http://124.65.5.85:20000/rtp/239.3.1.221:8001,1.0627
茶频道HD,http://123.121.216.27:8180/rtp/239.3.1.165:8001,1.0624
快乐垂钓HD,http://111.196.131.148:20000/rtp/239.3.1.164:8001,1.0614
朝阳融媒HD,http://114.243.99.54:4000/rtp/239.3.1.163:8001,1.0611
密云电视台HD,http://111.197.130.1:1314/rtp/239.3.1.154:8001,1.0611
通州融媒HD,http://111.196.131.148:20000/rtp/239.3.1.221:8001,1.0611
朝阳融媒HD,http://124.65.5.85:20000/rtp/239.3.1.163:8001,1.0609
通州融媒HD,http://yfaqkkms.zzmd.fun:8888/rtp/239.3.1.221:8001,1.0608
快乐垂钓HD,http://124.65.5.85:20000/rtp/239.3.1.164:8001,1.0606
通州融媒HD,http://111.197.130.1:1314/rtp/239.3.1.221:8001,1.0602
快乐垂钓HD,http://123.122.163.122:19999/rtp/239.3.1.164:8001,1.0596
密云电视台HD,http://114.246.103.25:4000/rtp/239.3.1.154:8001,1.0583
快乐垂钓,http://120.245.137.146:4022/udp/228.1.1.144:8002,1.0575
快乐垂钓HD,http://111.197.130.1:1314/rtp/239.3.1.164:8001,1.0574
密云电视台HD,http://123.122.163.122:19999/rtp/239.3.1.154:8001,1.0573
通州融媒HD,http://bplwberp.zzmd.fun:8888/rtp/239.3.1.221:8001,1.0572
朝阳融媒HD,http://111.197.130.1:1314/rtp/239.3.1.163:8001,1.0553
朝阳融媒HD,http://111.197.224.161:4022/rtp/239.3.1.163:8001,1.0552
朝阳融媒,http://120.245.137.146:4022/udp/228.1.1.140:8001,1.0548
茶频道,http://120.245.137.146:4022/udp/228.1.1.145:8002,1.0548
密云电视台HD,http://124.65.5.85:20000/rtp/239.3.1.154:8001,1.0508
4K超清[超清],http://111.196.131.148:20000/rtp/239.3.1.249:8001,1.0497
朝阳融媒HD,http://111.196.131.148:20000/rtp/239.3.1.163:8001,1.0497
密云电视台HD,http://bplwberp.zzmd.fun:8888/rtp/239.3.1.154:8001,1.0417
茶频道HD,http://111.197.130.1:1314/rtp/239.3.1.165:8001,1.0356
茶频道HD,http://111.196.185.170:5555/rtp/239.3.1.165:8001,1.0328
朝阳融媒HD,http://sweetown.fun:4000/rtp/239.3.1.163:8001,1.0191
茶频道HD,http://111.196.131.148:20000/rtp/239.3.1.165:8001,1.0182
茶频道HD,http://webmail.axxe.top:4022/rtp/239.3.1.165:8001,1.0146
茶频道HD,http://111.201.162.131:10000/rtp/239.3.1.165:8001,1.0095
睛彩竞技HD,http://yfaqkkms.zzmd.fun:8888/rtp/239.3.1.125:8001,1.0074
中国交通HD,http://111.193.234.141:8888/rtp/239.3.1.188:8001,1.007
睛彩篮球HD,http://123.120.11.201:4022/rtp/239.3.1.126:8001,1.0065
睛彩羽毛球HD,http://124.65.5.85:20000/rtp/239.3.1.127:8001,1.0064
睛彩竞技HD,http://123.122.161.121:19999/rtp/239.3.1.125:8001,1.0056
中国交通HD,http://123.120.11.201:4022/rtp/239.3.1.188:8001,1.0048
房山电视台,http://111.196.131.148:20000/rtp/239.3.1.96:8001,1.0047
睛彩广场舞HD,http://124.65.5.85:20000/rtp/239.3.1.128:8001,1.0044
朝阳融媒HD,http://123.121.216.27:8180/rtp/239.3.1.163:8001,1.0034
中国交通HD,http://123.122.163.122:19999/rtp/239.3.1.188:8001,1.0028
睛彩竞技HD,http://111.196.131.148:20000/rtp/239.3.1.125:8001,1.0016
房山电视台,http://120.245.137.146:4022/udp/228.1.1.139:8001,1.0015
睛彩广场舞HD,http://111.197.130.1:1314/rtp/239.3.1.128:8001,1.0014
中国交通HD,http://111.196.131.148:20000/rtp/239.3.1.188:8001,1.001
睛彩竞技HD,http://111.197.224.161:4022/rtp/239.3.1.125:8001,1.0008
4K超清[超清],http://111.197.224.161:4022/rtp/239.3.1.249:8001,1.0007
睛彩篮球HD,http://123.122.163.122:19999/rtp/239.3.1.126:8001,1.0004
快乐垂钓HD,http://123.122.161.121:19999/rtp/239.3.1.164:8001,1.0003
中国交通,http://120.245.137.146:4022/udp/228.1.1.222:8002,1.0002
中国交通HD,http://111.197.130.1:1314/rtp/239.3.1.188:8001,1.0002
睛彩广场舞HD,http://114.243.99.54:4000/rtp/239.3.1.128:8001,0.9995
中国交通HD,http://111.197.224.161:4022/rtp/239.3.1.188:8001,0.9992
睛彩广场舞HD,http://123.121.216.27:8180/rtp/239.3.1.128:8001,0.9992
睛彩竞技,http://120.245.137.146:4022/udp/228.1.1.223:8002,0.9986
房山电视台,http://111.197.130.1:1314/rtp/239.3.1.96:8001,0.9986
睛彩广场舞,http://120.245.137.146:4022/udp/228.1.1.226:8002,0.9976
睛彩广场舞HD,http://111.197.224.161:4022/rtp/239.3.1.128:8001,0.9969
房山电视台,http://114.243.99.54:4000/rtp/239.3.1.96:8001,0.9961
睛彩篮球,http://120.245.137.146:4022/udp/228.1.1.224:8002,0.9956
睛彩羽毛球,http://120.245.137.146:4022/udp/228.1.1.225:8002,0.995
中国交通HD,http://yfaqkkms.zzmd.fun:8888/rtp/239.3.1.188:8001,0.995
睛彩篮球HD,http://111.197.224.161:4022/rtp/239.3.1.126:8001,0.994
睛彩竞技HD,http://111.197.130.1:1314/rtp/239.3.1.125:8001,0.9935
密云电视台HD,http://111.197.224.161:4022/rtp/239.3.1.154:8001,0.9888
房山,http://1.203.76.226:7788/udp/225.1.8.68:8002,0.9879
睛彩篮球HD,http://124.65.5.85:20000/rtp/239.3.1.126:8001,0.9872
密云电视台HD,http://111.193.234.141:8888/rtp/239.3.1.154:8001,0.9864
朝阳融媒,http://1.203.76.226:7788/udp/225.1.8.69:8002,0.9861
密云电视台HD,http://123.121.216.27:8180/rtp/239.3.1.154:8001,0.9831
睛彩篮球HD,http://111.196.131.148:20000/rtp/239.3.1.126:8001,0.983
睛彩羽毛球HD,http://webmail.axxe.top:4022/rtp/239.3.1.127:8001,0.9793
睛彩羽毛球HD,http://yfaqkkms.zzmd.fun:8888/rtp/239.3.1.127:8001,0.9765
睛彩广场舞HD,http://bplwberp.zzmd.fun:8888/rtp/239.3.1.128:8001,0.9661
睛彩羽毛球HD,http://111.197.130.1:1314/rtp/239.3.1.127:8001,0.9627
CCTV5⁺HD,http://1.203.76.226:7788/udp/225.1.8.20:8004,0.9626
金鹰纪实HD,http://111.193.234.141:8888/rtp/239.3.1.58:8156,0.9625
金鹰纪实HD,http://123.120.11.201:4022/rtp/239.3.1.58:8156,0.9623
CETV1HD,http://111.193.234.141:8888/rtp/239.3.1.57:8152,0.962
安徽卫视HD,http://123.122.163.122:19999/rtp/239.3.1.211:8064,0.9614
安徽卫视HD,http://111.196.131.148:20000/rtp/239.3.1.211:8064,0.9611
安徽卫视HD,http://123.120.11.201:4022/rtp/239.3.1.211:8064,0.961
