央视频道,#genre#
CCTV1,http://114.249.217.126:8888/rtp/239.3.1.129:8008,0.9603
CCTV1,http://114.254.209.157:8888/rtp/239.3.1.129:8008,0.9593
CCTV1,http://114.254.209.157:8888/rtp/239.3.1.129:8008,0.959
CCTV1,http://111.192.187.92:8012/rtp/239.3.1.129:8008,0.9587
CCTV1,http://123.113.237.79:8888/rtp/239.3.1.129:8008,0.9584
CCTV1,http://114.254.219.197:8000/rtp/239.3.1.129:8008,0.9581
CCTV1,http://123.122.162.250:19999/rtp/239.3.1.129:8008,0.9578
CCTV1,http://123.122.163.122:19999/rtp/239.3.1.129:8008,0.9576
CCTV1,http://222.129.36.235:9001/rtp/239.3.1.129:8008,0.9576
CCTV1,http://111.192.187.92:8012/rtp/239.3.1.129:8008,0.9575
CCTV1,http://123.122.162.250:19999/rtp/239.3.1.129:8008,0.9574
CCTV1,http://123.113.237.79:8888/rtp/239.3.1.129:8008,0.9571
CCTV1,http://222.128.86.76:8133/rtp/239.3.1.129:8008,0.9571
CCTV1,http://114.254.189.79:9999/rtp/239.3.1.129:8008,0.9568
CCTV1,http://123.122.163.122:19999/rtp/239.3.1.129:8008,0.9565
CCTV1,http://221.219.101.215:8012/rtp/239.3.1.129:8008,0.9564
CCTV1,http://124.64.236.210:8012/rtp/239.3.1.129:8008,0.9562
CCTV1,http://124.64.236.210:8012/rtp/239.3.1.129:8008,0.956
CCTV1,http://120.244.86.221:9999/udp/228.1.1.28:8008,0.9558
CCTV1,http://124.65.5.85:20000/rtp/239.3.1.129:8008,0.9556
CCTV1,http://222.128.86.76:8133/rtp/239.3.1.129:8008,0.9551
CCTV1,http://114.243.107.120:4000/rtp/239.3.1.129:8008,0.9546
CCTV1,http://114.249.217.126:8888/rtp/239.3.1.129:8008,0.9544
CCTV1,http://124.65.5.85:20000/rtp/239.3.1.129:8008,0.9544
CCTV1,http://114.252.237.19:8000/rtp/239.3.1.129:8008,0.9543
CCTV1,http://222.129.138.133:4088/rtp/239.3.1.129:8008,0.9543
CCTV1,http://222.129.138.133:4088/rtp/239.3.1.129:8008,0.9537
CCTV1,http://1.202.9.192:8888/udp/225.1.8.1:8008,0.9527
CCTV1,http://www.ogrehq.com:4022/udp/228.1.1.28:8008,0.9524
CCTV1,http://1.203.76.226:7788/udp/225.1.8.1:8008,0.9509
CCTV1,http://www.ogrehq.com:4022/udp/228.1.1.28:8008,0.9502
CCTV1,http://1.202.9.192:8888/udp/225.1.8.1:8008,0.9476
CCTV1,http://114.243.107.120:4000/rtp/239.3.1.129:8008,0.9252
CCTV1,http://222.129.36.235:9001/rtp/239.3.1.129:8008,0.9221
CCTV1,http://222.129.32.10:8888/rtp/239.3.1.129:8008,0.9169
CCTV1,http://221.219.101.215:8012/rtp/239.3.1.129:8008,0.9157
CCTV1,http://114.254.189.79:9999/rtp/239.3.1.129:8008,0.9091
CCTV1,http://114.252.237.19:8000/rtp/239.3.1.129:8008,0.9036
CCTV1,http://111.193.234.141:8888/rtp/239.3.1.129:8008,0.9024
CCTV1,http://111.197.224.161:4022/rtp/239.3.1.129:8008,0.8633
CCTV1,http://111.193.234.141:8888/rtp/239.3.1.129:8008,0.8581
CCTV1,http://sweetown.fun:4000/rtp/239.3.1.129:8008,0.8407
CCTV1,http://123.121.216.27:8180/rtp/239.3.1.129:8008,0.8393
CCTV1,http://222.129.32.50:58888/rtp/239.3.1.129:8008,0.8232
CCTV1,http://222.129.32.50:58888/rtp/239.3.1.129:8008,0.7941
CCTV1,http://111.197.224.161:4022/rtp/239.3.1.129:8008,0.7931
CCTV1,http://sweetown.fun:4000/rtp/239.3.1.129:8008,0.7636
CCTV1,http://111.196.185.170:5555/rtp/239.3.1.129:8008,0.7428
CCTV1,http://114.246.183.121:4022/rtp/239.3.1.129:8008,0.7329
CCTV1,http://wg.mxmy.net:8888/rtp/239.3.1.129:8008,0.7144
CCTV1,http://61.48.28.175:8180/rtp/239.3.1.129:8008,0.6337
CCTV1,http://114.246.183.121:4022/rtp/239.3.1.129:8008,0.6278
CCTV1,http://222.129.32.10:8888/rtp/239.3.1.129:8008,0.6144
CCTV1,http://wg.mxmy.net:8888/rtp/239.3.1.129:8008,0.582
CCTV1,http://114.253.218.94:5400/rtp/239.3.1.129:8008,0.5686
CCTV1,http://111.196.185.170:5555/rtp/239.3.1.129:8008,0.5639
CCTV1,http://120.244.86.221:9999/udp/228.1.1.28:8008,0.5411
CCTV1,http://61.48.28.175:8180/rtp/239.3.1.129:8008,0.5366
CCTV1,http://125.34.18.98:8888/rtp/239.3.1.129:8008,0.533
CCTV1,http://114.253.218.94:5400/rtp/239.3.1.129:8008,0.5132
CCTV1,http://123.118.59.198:8888/rtp/239.3.1.129:8008,0.4963
CCTV1,http://1.203.76.226:7788/udp/225.1.8.1:8008,0.4646
CCTV1,http://114.254.86.80:2222/rtp/239.3.1.129:8008,0.453
CCTV1,http://114.254.219.197:8000/rtp/239.3.1.129:8008,0.4456
CCTV1,http://114.254.81.86:2222/rtp/239.3.1.129:8008,0.4214
CCTV1,http://123.121.216.27:8180/rtp/239.3.1.129:8008,0.4129
CCTV1,http://114.254.88.16:2222/rtp/239.3.1.129:8008,0.4012
CCTV1,http://114.254.86.80:2222/rtp/239.3.1.129:8008,0.3366
CCTV1,http://1.202.9.192:8888/udp/225.1.8.101:8080,0.3246
CCTV1,http://114.249.27.188:9000/rtp/239.3.1.129:8008,0.296
CCTV1,http://123.118.59.198:8888/rtp/239.3.1.129:8008,0.284
CCTV1,http://114.254.88.16:2222/rtp/239.3.1.129:8008,0.235
CCTV2,http://114.249.217.126:8888/rtp/239.3.1.60:8084,0.9593
CCTV2,http://111.192.187.92:8012/rtp/239.3.1.60:8084,0.9574
CCTV2,http://111.192.187.92:8012/rtp/239.3.1.60:8084,0.9573
CCTV2,http://123.113.237.79:8888/rtp/239.3.1.60:8084,0.9571
CCTV2,http://222.129.36.235:9001/rtp/239.3.1.60:8084,0.957
CCTV2,http://124.64.236.210:8012/rtp/239.3.1.60:8084,0.9563
CCTV2,http://123.122.163.122:19999/rtp/239.3.1.60:8084,0.9562
CCTV2,http://123.122.162.250:19999/rtp/239.3.1.60:8084,0.9556
CCTV2,http://123.122.162.250:19999/rtp/239.3.1.60:8084,0.9555
CCTV2,http://120.244.86.221:9999/udp/228.1.1.24:8084,0.9554
CCTV2,http://124.65.5.85:20000/rtp/239.3.1.60:8084,0.9554
CCTV2,http://1.203.76.226:7788/udp/225.1.8.2:8084,0.9549
